X_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
19576,SC,84,Outside City Limits,2012-10
19577,SC,473,Toronto,2012-10
19578,ET,85,Outside City Limits,2012-11
19579,ET,293,Toronto,2012-11
19580,NY,88,Outside City Limits,2012-11
19581,NY,314,Toronto,2012-11
19582,SC,79,Outside City Limits,2012-11
19583,SC,434,Toronto,2012-11
19584,ET,82,Outside City Limits,2012-12
19585,ET,636,Toronto,2012-12
19586,NY,73,Outside City Limits,2012-12
19587,NY,311,Toronto,2012-12
19588,SC,36,Outside City Limits,2012-12
19589,SC,281,Toronto,2012-12
19590,ET,283,Outside City Limits,2013-01
19591,ET,631,Toronto,2013-01
19592,NY,117,Outside City Limits,2013-01
19593,NY,418,Toronto,2013-01
19594,SC,78,Outside City Limits,2013-01
19595,SC,582,Toronto,2013-01
19596,ET,103,Outside City Limits,2013-02
19597,ET,434,Toronto,2013-02
19598,NY,54,Outside City Limits,2013-02
19599,NY,243,Toronto,2013-02
19600,SC,59,Outside City Limits,2013-02
19601,SC,420,Toronto,2013-02
19602,ET,94,Outside City Limits,2013-03
19603,ET,312,Toronto,2013-03
19604,NY,80,Outside City Limits,2013-03
19605,NY,234,Toronto,2013-03
19606,SC,95,Outside City Limits,2013-03
19607,SC,416,Toronto,2013-03
19608,ET,163,Outside City Limits,2013-04
19609,ET,669,Toronto,2013-04
19610,NY,47,Outside City Limits,2013-04
19611,NY,226,Toronto,2013-04
19612,SC,76,Outside City Limits,2013-04
19613,SC,501,Toronto,2013-04
19614,ET,82,Outside City Limits,2013-05
19615,ET,435,Toronto,2013-05
19616,NY,81,Outside City Limits,2013-05
19617,NY,276,Toronto,2013-05
19618,SC,86,Outside City Limits,2013-05
19619,SC,432,Toronto,2013-05
19620,ET,93,Outside City Limits,2013-06
19621,ET,506,Toronto,2013-06
19622,NY,66,Outside City Limits,2013-06
19623,NY,236,Toronto,2013-06
19624,SC,54,Outside City Limits,2013-06
19625,SC,255,Toronto,2013-06
19626,ET,193,Outside City Limits,2013-07
19627,ET,732,Toronto,2013-07
19628,NY,55,Outside City Limits,2013-07
19629,NY,276,Toronto,2013-07
19630,SC,58,Outside City Limits,2013-07
19631,SC,346,Toronto,2013-07
19632,ET,116,Outside City Limits,2013-08
19633,ET,379,Toronto,2013-08
19634,NY,83,Outside City Limits,2013-08
19635,NY,290,Toronto,2013-08
19636,SC,33,Outside City Limits,2013-08
19637,SC,217,Toronto,2013-08
19638,ET,150,Outside City Limits,2013-09
19639,ET,449,Toronto,2013-09
19640,NY,109,Outside City Limits,2013-09
19641,NY,487,Toronto,2013-09
19642,SC,83,Outside City Limits,2013-09
19643,SC,338,Toronto,2013-09
19644,ET,111,Outside City Limits,2013-10
19645,ET,414,Toronto,2013-10
19646,NY,98,Outside City Limits,2013-10
19647,NY,390,Toronto,2013-10
19648,SC,82,Outside City Limits,2013-10
19649,SC,433,Toronto,2013-10
19650,ET,99,Outside City Limits,2013-11
19651,ET,338,Toronto,2013-11
19652,NY,60,Outside City Limits,2013-11
19653,NY,277,Toronto,2013-11
19654,SC,86,Outside City Limits,2013-11
19655,SC,398,Toronto,2013-11
19656,ET,66,Outside City Limits,2013-12
19657,ET,432,Toronto,2013-12
19658,NY,95,Outside City Limits,2013-12
19659,NY,331,Toronto,2013-12
19660,SC,81,Outside City Limits,2013-12
19661,SC,318,Toronto,2013-12
19662,ET,215,Outside City Limits,2014-01
19663,ET,569,Toronto,2014-01
19664,NY,149,Outside City Limits,2014-01
19665,NY,503,Toronto,2014-01
19666,SC,104,Outside City Limits,2014-01
19667,SC,555,Toronto,2014-01
19668,ET,136,Outside City Limits,2014-02
19669,ET,379,Toronto,2014-02
19670,NY,93,Outside City Limits,2014-02
19671,NY,381,Toronto,2014-02
19672,SC,66,Outside City Limits,2014-02
19673,SC,335,Toronto,2014-02
19674,ET,112,Outside City Limits,2014-03
19675,ET,394,Toronto,2014-03
19676,NY,158,Outside City Limits,2014-03
19677,NY,618,Toronto,2014-03
19678,SC,90,Outside City Limits,2014-03
19679,SC,410,Toronto,2014-03
19680,ET,112,Outside City Limits,2014-04
19681,ET,352,Toronto,2014-04
19682,NY,115,Outside City Limits,2014-04
19683,NY,518,Toronto,2014-04
19684,SC,59,Outside City Limits,2014-04
19685,SC,402,Toronto,2014-04
19686,ET,78,Outside City Limits,2014-05
19687,ET,330,Toronto,2014-05
19688,NY,63,Outside City Limits,2014-05
19689,NY,296,Toronto,2014-05
19690,SC,108,Outside City Limits,2014-05
19691,SC,398,Toronto,2014-05
19692,ET,95,Outside City Limits,2014-06
19693,ET,371,Toronto,2014-06
19694,NY,99,Outside City Limits,2014-06
19695,NY,404,Toronto,2014-06
19696,SC,63,Outside City Limits,2014-06
19697,SC,390,Toronto,2014-06
19698,ET,116,Outside City Limits,2014-07
19699,ET,393,Toronto,2014-07
19700,NY,119,Outside City Limits,2014-07
19701,NY,454,Toronto,2014-07
19702,SC,44,Outside City Limits,2014-07
19703,SC,258,Toronto,2014-07
19704,ET,80,Outside City Limits,2014-08
19705,ET,301,Toronto,2014-08
19706,NY,103,Outside City Limits,2014-08
19707,NY,277,Toronto,2014-08
19708,SC,120,Outside City Limits,2014-08
19709,SC,518,Toronto,2014-08
19710,ET,105,Outside City Limits,2014-09
19711,ET,274,Toronto,2014-09
19712,NY,94,Outside City Limits,2014-09
19713,NY,391,Toronto,2014-09
19714,SC,96,Outside City Limits,2014-09
19715,SC,427,Toronto,2014-09
19716,ET,92,Outside City Limits,2014-10
19717,ET,297,Toronto,2014-10
19718,NY,59,Outside City Limits,2014-10
19719,NY,454,Toronto,2014-10
19720,SC,81,Outside City Limits,2014-10
19721,SC,459,Toronto,2014-10
19722,ET,138,Outside City Limits,2014-11
19723,ET,467,Toronto,2014-11
19724,NY,93,Outside City Limits,2014-11
19725,NY,267,Toronto,2014-11
19726,SC,71,Outside City Limits,2014-11
19727,SC,432,Toronto,2014-11
19728,ET,111,Outside City Limits,2014-12
19729,ET,308,Toronto,2014-12
19730,NY,73,Outside City Limits,2014-12
19731,NY,441,Toronto,2014-12
19732,SC,85,Outside City Limits,2014-12
19733,SC,482,Toronto,2014-12
19734,ET,158,Outside City Limits,2015-01
19735,ET,487,Toronto,2015-01
19736,NY,119,Outside City Limits,2015-01
19737,NY,422,Toronto,2015-01
19738,SC,94,Outside City Limits,2015-01
19739,SC,580,Toronto,2015-01
19740,ET,132,Outside City Limits,2015-02
19741,ET,543,Toronto,2015-02
19742,NY,93,Outside City Limits,2015-02
19743,NY,210,Toronto,2015-02
19744,SC,107,Outside City Limits,2015-02
19745,SC,500,Toronto,2015-02
19746,ET,139,Outside City Limits,2015-03
19747,ET,584,Toronto,2015-03
19748,NY,65,Outside City Limits,2015-03
19749,NY,347,Toronto,2015-03
19750,SC,63,Outside City Limits,2015-03
19751,SC,367,Toronto,2015-03
19752,ET,113,Outside City Limits,2015-04
19753,ET,399,Toronto,2015-04
19754,NY,126,Outside City Limits,2015-04
19755,NY,345,Toronto,2015-04
19756,SC,60,Outside City Limits,2015-04
19757,SC,436,Toronto,2015-04
19758,ET,64,Outside City Limits,2015-05
19759,ET,273,Toronto,2015-05
19760,NY,94,Outside City Limits,2015-05
19761,NY,422,Toronto,2015-05
19762,SC,49,Outside City Limits,2015-05
19763,SC,364,Toronto,2015-05
19764,ET,124,Outside City Limits,2015-06
19765,ET,319,Toronto,2015-06
19766,NY,54,Outside City Limits,2015-06
19767,NY,363,Toronto,2015-06
19768,SC,93,Outside City Limits,2015-06
19769,SC,450,Toronto,2015-06
19770,ET,93,Outside City Limits,2015-07
19771,ET,374,Toronto,2015-07
19772,NY,76,Outside City Limits,2015-07
19773,NY,369,Toronto,2015-07
19774,SC,94,Outside City Limits,2015-07
19775,SC,466,Toronto,2015-07
19776,ET,81,Outside City Limits,2015-08
19777,ET,334,Toronto,2015-08
19778,NY,111,Outside City Limits,2015-08
19779,NY,484,Toronto,2015-08
19780,SC,97,Outside City Limits,2015-08
19781,SC,416,Toronto,2015-08
19782,ET,75,Outside City Limits,2015-09
19783,ET,310,Toronto,2015-09
19784,NY,87,Outside City Limits,2015-09
19785,NY,333,Toronto,2015-09
19786,SC,86,Outside City Limits,2015-09
19787,SC,432,Toronto,2015-09
19788,ET,158,Outside City Limits,2015-10
19789,ET,401,Toronto,2015-10
19790,NY,79,Outside City Limits,2015-10
19791,NY,301,Toronto,2015-10
19792,SC,83,Outside City Limits,2015-10
19793,SC,372,Toronto,2015-10
19794,ET,116,Outside City Limits,2015-11
19795,ET,460,Toronto,2015-11
19796,NY,70,Outside City Limits,2015-11
19797,NY,372,Toronto,2015-11
19798,SC,86,Outside City Limits,2015-11
19799,SC,413,Toronto,2015-11
19800,ET,68,Outside City Limits,2015-12
19801,ET,333,Toronto,2015-12
19802,NY,70,Outside City Limits,2015-12
19803,NY,259,Toronto,2015-12
19804,SC,98,Outside City Limits,2015-12
19805,SC,459,Toronto,2015-12
19806,ET,183,Outside City Limits,2016-01
19807,ET,422,Toronto,2016-01
19808,NY,90,Outside City Limits,2016-01
19809,NY,396,Toronto,2016-01
19810,SC,87,Outside City Limits,2016-01
19811,SC,564,Toronto,2016-01
19812,ET,95,Outside City Limits,2016-02
19813,ET,387,Toronto,2016-02
19814,NY,83,Outside City Limits,2016-02
19815,NY,285,Toronto,2016-02
19816,SC,99,Outside City Limits,2016-02
19817,SC,471,Toronto,2016-02
19818,ET,155,Outside City Limits,2016-03
19819,ET,440,Toronto,2016-03
19820,NY,95,Outside City Limits,2016-03
19821,NY,311,Toronto,2016-03
19822,SC,93,Outside City Limits,2016-03
19823,SC,533,Toronto,2016-03
19824,ET,104,Outside City Limits,2016-04
19825,ET,414,Toronto,2016-04
19826,NY,51,Outside City Limits,2016-04
19827,NY,255,Toronto,2016-04
19828,SC,107,Outside City Limits,2016-04
19829,SC,539,Toronto,2016-04
19830,ET,137,Outside City Limits,2016-05
19831,ET,355,Toronto,2016-05
