X_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
20135,SC,5,Outside City Limits,2020-06
20136,SC,29,Toronto,2020-06
20137,TO,61,Outside City Limits,2020-06
20138,TO,255,Toronto,2020-06
20139,ET,187,Outside City Limits,2020-07
20140,ET,647,Toronto,2020-07
20141,NY,24,Outside City Limits,2020-07
20142,NY,187,Toronto,2020-07
20143,TO,72,Outside City Limits,2020-07
20144,TO,272,Toronto,2020-07
20145,ET,186,Outside City Limits,2020-08
20146,ET,507,Toronto,2020-08
20147,NY,46,Outside City Limits,2020-08
20148,NY,200,Toronto,2020-08
20149,TO,12,Outside City Limits,2020-08
20150,TO,86,Toronto,2020-08
20151,ET,39,Outside City Limits,2020-09
20152,ET,194,Toronto,2020-09
20153,NY,1,Outside City Limits,2020-09
20154,NY,2,Toronto,2020-09
20155,SC,40,Outside City Limits,2020-09
20156,SC,140,Toronto,2020-09
20157,TO,155,Outside City Limits,2020-09
20158,TO,534,Toronto,2020-09
20159,ET,164,Outside City Limits,2020-10
20160,ET,375,Toronto,2020-10
20161,NY,1,Outside City Limits,2020-10
20162,NY,2,Toronto,2020-10
20163,SC,79,Outside City Limits,2020-10
20164,SC,162,Toronto,2020-10
20165,TO,220,Outside City Limits,2020-10
20166,TO,683,Toronto,2020-10
20167,ET,322,Outside City Limits,2020-11
20168,ET,1239,Toronto,2020-11
20169,NY,5,Outside City Limits,2020-11
20170,NY,24,Toronto,2020-11
20171,SC,12,Outside City Limits,2020-11
20172,SC,39,Toronto,2020-11
20173,TO,39,Outside City Limits,2020-11
20174,TO,147,Toronto,2020-11
20175,ET,171,Outside City Limits,2020-12
20176,ET,832,Toronto,2020-12
20177,SC,3,Toronto,2020-12
20178,TO,1,Outside City Limits,2020-12
20179,TO,16,Toronto,2020-12
20180,ET,405,Outside City Limits,2021-01
20181,ET,1712,Toronto,2021-01
20182,NY,1,Outside City Limits,2021-01
20183,NY,5,Toronto,2021-01
20184,TO,4,Toronto,2021-01
20185,ET,478,Outside City Limits,2021-02
20186,ET,1339,Toronto,2021-02
20187,TO,1,Outside City Limits,2021-02
20188,TO,1,Toronto,2021-02
20189,ET,377,Outside City Limits,2021-03
20190,ET,1489,Toronto,2021-03
20191,TO,1,Toronto,2021-03
20192,ET,426,Outside City Limits,2021-04
20193,ET,1304,Toronto,2021-04
20194,NY,1,Toronto,2021-04
20195,TO,1,Toronto,2021-04
20196,ET,653,Outside City Limits,2021-05
20197,ET,2007,Toronto,2021-05
20198,TO,1,Toronto,2021-05
20199,ET,146,Outside City Limits,2021-06
20200,ET,429,Toronto,2021-06
20201,ET,197,Outside City Limits,2021-07
20202,ET,879,Toronto,2021-07
20203,ET,290,Outside City Limits,2021-08
20204,ET,740,Toronto,2021-08
20205,TO,2,Toronto,2021-08
20206,ET,302,Outside City Limits,2021-09
20207,ET,1216,Toronto,2021-09
20208,TO,3,Toronto,2021-09
20209,ET,374,Outside City Limits,2021-10
20210,ET,1181,Toronto,2021-10
20211,ET,277,Outside City Limits,2021-11
20212,ET,909,Toronto,2021-11
20213,ET,193,Outside City Limits,2021-12
20214,ET,746,Toronto,2021-12
20215,ET,347,Outside City Limits,2022-01
20216,ET,1326,Toronto,2022-01
20217,ET,473,Outside City Limits,2022-02
20218,ET,1285,Toronto,2022-02
20219,TO,10,Toronto,2022-02
20220,ET,424,Outside City Limits,2022-03
20221,ET,1437,Toronto,2022-03
20222,TO,11,Outside City Limits,2022-03
20223,TO,54,Toronto,2022-03
20224,ET,244,Outside City Limits,2022-04
20225,ET,679,Toronto,2022-04
20226,TO,5,Outside City Limits,2022-04
20227,TO,9,Toronto,2022-04
20228,ET,319,Outside City Limits,2022-05
20229,ET,980,Toronto,2022-05
20230,NY,7,Outside City Limits,2022-05
20231,NY,14,Toronto,2022-05
20232,TO,2,Outside City Limits,2022-05
20233,TO,4,Toronto,2022-05
20234,ET,352,Outside City Limits,2022-06
20235,ET,1199,Toronto,2022-06
20236,NY,12,Outside City Limits,2022-06
20237,NY,35,Toronto,2022-06
20238,TO,2,Outside City Limits,2022-06
20239,TO,9,Toronto,2022-06
20240,ET,87,Outside City Limits,2022-07
20241,ET,272,Toronto,2022-07
20242,NY,5,Outside City Limits,2022-07
20243,NY,24,Toronto,2022-07
20244,TO,1,Outside City Limits,2022-07
20245,TO,2,Toronto,2022-07
20246,ET,118,Outside City Limits,2022-08
20247,ET,317,Toronto,2022-08
20248,NY,65,Outside City Limits,2022-08
20249,NY,143,Toronto,2022-08
20250,TO,9,Outside City Limits,2022-08
20251,TO,18,Toronto,2022-08
20252,ET,203,Outside City Limits,2022-09
20253,ET,583,Toronto,2022-09
20254,NY,197,Outside City Limits,2022-09
20255,NY,730,Toronto,2022-09
20256,TO,9,Outside City Limits,2022-09
20257,TO,55,Toronto,2022-09
20258,ET,73,Outside City Limits,2022-10
20259,ET,282,Toronto,2022-10
20260,NY,133,Outside City Limits,2022-10
20261,NY,397,Toronto,2022-10
20262,TO,9,Outside City Limits,2022-10
20263,TO,19,Toronto,2022-10
20264,ET,71,Outside City Limits,2022-11
20265,ET,360,Toronto,2022-11
20266,NY,324,Outside City Limits,2022-11
20267,NY,1274,Toronto,2022-11
20268,TO,16,Outside City Limits,2022-11
20269,TO,65,Toronto,2022-11
20270,ET,10,Outside City Limits,2022-12
20271,ET,14,Toronto,2022-12
20272,NY,416,Outside City Limits,2022-12
20273,NY,996,Toronto,2022-12
20274,TO,12,Outside City Limits,2022-12
20275,TO,25,Toronto,2022-12
20276,ET,5,Outside City Limits,2023-01
20277,ET,20,Toronto,2023-01
20278,NY,370,Outside City Limits,2023-01
20279,NY,1015,Toronto,2023-01
20280,TO,14,Outside City Limits,2023-01
20281,TO,48,Toronto,2023-01
20282,ET,7,Outside City Limits,2023-02
20283,ET,12,Toronto,2023-02
20284,NY,162,Outside City Limits,2023-02
20285,NY,446,Toronto,2023-02
20286,TO,11,Outside City Limits,2023-02
20287,TO,27,Toronto,2023-02
20288,ET,10,Outside City Limits,2023-03
20289,ET,34,Toronto,2023-03
20290,NY,314,Outside City Limits,2023-03
20291,NY,923,Toronto,2023-03
20292,TO,13,Outside City Limits,2023-03
20293,TO,55,Toronto,2023-03
20294,ET,4,Outside City Limits,2023-04
20295,ET,17,Toronto,2023-04
20296,NY,407,Outside City Limits,2023-04
20297,NY,1588,Toronto,2023-04
20298,TO,18,Outside City Limits,2023-04
20299,TO,72,Toronto,2023-04
20300,ET,6,Outside City Limits,2023-05
20301,ET,8,Toronto,2023-05
20302,NY,519,Outside City Limits,2023-05
20303,NY,1926,Toronto,2023-05
20304,TO,18,Outside City Limits,2023-05
20305,TO,74,Toronto,2023-05
20306,ET,5,Outside City Limits,2023-06
20307,ET,24,Toronto,2023-06
20308,NY,775,Outside City Limits,2023-06
20309,NY,1842,Toronto,2023-06
20310,TO,30,Outside City Limits,2023-06
20311,TO,62,Toronto,2023-06
20312,NY,124,Outside City Limits,2023-07
20313,NY,394,Toronto,2023-07
20314,TO,10,Outside City Limits,2023-07
20315,TO,23,Toronto,2023-07
20316,ET,1,Outside City Limits,2023-08
20317,ET,6,Toronto,2023-08
20318,NY,301,Outside City Limits,2023-08
20319,NY,866,Toronto,2023-08
20320,TO,12,Outside City Limits,2023-08
20321,TO,40,Toronto,2023-08
20322,ET,1,Outside City Limits,2023-09
20323,ET,2,Toronto,2023-09
20324,NY,439,Outside City Limits,2023-09
20325,NY,1180,Toronto,2023-09
20326,TO,31,Outside City Limits,2023-09
20327,TO,86,Toronto,2023-09
20328,ET,1,Outside City Limits,2023-10
20329,ET,4,Toronto,2023-10
20330,NY,344,Outside City Limits,2023-10
20331,NY,1058,Toronto,2023-10
20332,TO,51,Outside City Limits,2023-10
20333,TO,120,Toronto,2023-10
20334,ET,2,Toronto,2023-11
20335,NY,309,Outside City Limits,2023-11
20336,NY,1301,Toronto,2023-11
20337,TO,47,Outside City Limits,2023-11
20338,TO,155,Toronto,2023-11
20339,ET,1,Toronto,2023-12
20340,NY,143,Outside City Limits,2023-12
20341,NY,510,Toronto,2023-12
20342,TO,16,Outside City Limits,2023-12
20343,TO,100,Toronto,2023-12
